"","Country","Year","Entropy","Eu_2014","Eu_2004","Educbasic","workagepop","R&D","FDIinflows"
"1","AUT","2014",8.7860301652205,"1","0",36.863,5753902,"3.08429002761841",0.386858115054066
"2","AUT","2013",8.76631523936791,"1","0",36.335,5719020,"2.95492005348206",0.104862185985247
"3","AUT","2012",8.76819016815342,"1","0",36.817,5696737,"2.91472005844116",1.27469393348716
"4","AUT","2011",8.8278775365577,"1","0",37.433,5675763,"2.66867995262146",5.32423673714992
"5","AUT","2010",8.85077701310561,"1","0",36.928,5648587,"2.72609996795654",-5.61017631479876
"6","AUT","2009",8.9187442270258,"1","0",37.654,5629260,"2.59674000740051",3.55936613543504
"7","AUT","2008",8.85015035356471,"1","0",37.771,5616074,"2.56944990158081",1.45842274091571
"8","AUT","2007",8.81282197507493,"1","0",38.557,5598503,"2.41843008995056",17.6948460131618
"9","AUT","2006",8.85592224996994,"1","0",36.822,5587256,"2.35923004150391",3.1225333500469
"10","AUT","2005",8.8594840877159,"1","0",36.226,5577847,"2.37323999404907",25.6558278307872
"11","AUT","2004",8.89938236280483,"1","0",35.216,5561678,"2.16612005233765",1.05608551598748
"12","AUT","2003",8.90445896688069,"1","0",43.188,5532119,"2.17456007003784",2.3620452554039
"13","AUT","2002",8.89250485255998,"1","0",43.666,5491630,"2.06597995758057",0.0645287981477486
"14","AUT","2001",8.87505032251762,"1","0",42.266,5448046,"1.99210000038147",2.88059839258097
"15","AUT","2000",8.7963706310203,"1","0",43.328,5411062,"1.88601994514465",4.30890039482984
"16","BEL","2014",8.90144097591971,"1","0",30.815,7285273,"2.37001991271973",-2.84014749508768
"17","BEL","2013",8.89573179817306,"1","0",31.291,7277628,"2.33072996139526",-5.68061237430678
"18","BEL","2012",8.92155701600873,"1","0",31.297,7267828,"2.28114008903503",2.38036960149692
"19","BEL","2011",8.93018735415201,"1","0",31.567,7249661,"2.17332005500793",31.265983348903
"20","BEL","2010",8.96755895054364,"1","0",32.989,7176760,"2.06188011169434",26.0669819962462
"21","BEL","2009",8.98256975876112,"1","0",31.272,7123379,"1.99860000610352",16.0070029161629
"22","BEL","2008",8.85382429659416,"1","0",32.079,7073628,"1.93684005737305",36.8029204549977
"23","BEL","2007",8.8107996453393,"1","0",32.893,7013018,"1.84999001026154",20.5026740062328
"24","BEL","2006",8.84554866506311,"1","0",33.077,6944194,"1.8226900100708",14.4078713936676
"25","BEL","2005",8.88570118873522,"1","0",37.572,6881331,"1.79060995578766",8.72717720186463
"26","BEL","2004",8.8925897134601,"1","0",37.444,6836408,"1.82050001621246",12.0521106747569
"27","BEL","2003",8.90788673172492,"1","0",36.871,6805014,"1.8411899805069",10.8648744877518
"28","BEL","2002",8.89432206877997,"1","0",37.066,6774608,"1.90324997901917",7.01242443993657
"29","BEL","2001",8.74813028123377,"1","0",36.876,6743920,"2.03278994560242",37.2564694834172
"30","BEL","2000",8.73087211305786,"1","0",39.049,6723820,"1.93619000911713",37.4753122979087
"31","BGR","2014",8.64676914917382,"1","0",26.886,4751668,"0.790050029754639",1.91330024420873
"32","BGR","2013",8.42706711169052,"1","0",25.178,4814205,"0.634329974651337",3.56126116234701
"33","BGR","2012",8.44214229694723,"1","0",24.162,4881414,"0.600359976291656",3.2937399637389
"34","BGR","2011",8.41183223292952,"1","0",24.005,4948648,"0.529510021209717",3.64377871047417
"35","BGR","2010",8.39380416760864,"1","0",24.875,5015444,"0.563069999217987",3.63054818996133
"36","BGR","2009",8.36522679994264,"1","0",24.805,5076737,"0.493380010128021",7.4901573261348
"37","BGR","2008",8.40571669847438,"1","0",25.354,5129121,"0.447310000658035",18.8997638100667
"38","BGR","2007",8.43397724552576,"1","0",24.28,5176982,"0.430029988288879",31.2275318810773
"39","BGR","2006",8.4335599459878,"1","0",24.521,5220366,"0.44216001033783",22.9038783511231
"40","BGR","2005",8.44812966669507,"1","0",29.017,5256073,"0.442690014839172",13.7204790059912
"41","BGR","2004",8.50264882864483,"1","0",30.616,5283071,"0.470860004425049",11.7462386509689
"42","BGR","2003",8.29593858813858,"1","0",29.543,5305099,"0.472220003604889",9.91625852839807
"43","BGR","2002",8.1916893408003,"1","0",31.584,5327942,"0.464729994535446",5.51519461491359
"44","BGR","2001",8.08244096239545,"1","0",31.949,5427238,"0.447089999914169",5.73162685921139
"45","BGR","2000",7.94427291988383,"1","0",32.274,5521592,"0.495169997215271",7.56080761987916
"46","CYP","2014",7.64086153650463,"1","0",41.659,840546,"0.512049973011017",223.436708076654
"47","CYP","2013",7.61444598238458,"1","0",40.892,835587,"0.484849989414215",108.648200653739
"48","CYP","2012",7.81917492789697,"1","0",42.182,829867,"0.437649995088577",280.145510398677
"49","CYP","2011",7.8964034252559,"1","0",45.341,822641,"0.452630013227463",146.729404967253
"50","CYP","2010",8.00174849509524,"1","0",47.364,810597,"0.442919999361038",120.595961081602
"51","CYP","2009",8.33797039140252,"1","0",46.526,794326,"0.444370001554489",249.108048567269
