"","Country","Year","Entropy","Eu_2014","Eu_2004","Educbasic","workagepop","R&D","FDIinflows"
"1","AUT","2014",5.14472613643277,"1","0",36.863,5753902,"3.08429002761841",0.386858115054066
"2","AUT","2013",5.14649279013915,"1","0",36.335,5719020,"2.95492005348206",0.104862185985247
"3","AUT","2012",5.11216437499671,"1","0",36.817,5696737,"2.91472005844116",1.27469393348716
"4","AUT","2011",5.15451861130497,"1","0",37.433,5675763,"2.66867995262146",5.32423673714992
"5","AUT","2010",5.1455557914345,"1","0",36.928,5648587,"2.72609996795654",-5.61017631479876
"6","AUT","2009",5.21230213650562,"1","0",37.654,5629260,"2.59674000740051",3.55936613543504
"7","AUT","2008",5.20087683071002,"1","0",37.771,5616074,"2.56944990158081",1.45842274091571
"8","AUT","2007",5.19495390299946,"1","0",38.557,5598503,"2.41843008995056",17.6948460131618
"9","AUT","2006",5.18336615415605,"1","0",36.822,5587256,"2.35923004150391",3.1225333500469
"10","AUT","2005",5.1761782581681,"1","0",36.226,5577847,"2.37323999404907",25.6558278307872
"11","AUT","2004",5.17195301865315,"1","0",35.216,5561678,"2.16612005233765",1.05608551598748
"12","AUT","2003",5.17368392446939,"1","0",43.188,5532119,"2.17456007003784",2.3620452554039
"13","AUT","2002",5.13870627353597,"1","0",43.666,5491630,"2.06597995758057",0.0645287981477486
"14","AUT","2001",5.12931035642145,"1","0",42.266,5448046,"1.99210000038147",2.88059839258097
"15","AUT","2000",5.10569064465258,"1","0",43.328,5411062,"1.88601994514465",4.30890039482984
"16","BEL","2014",5.01147795462591,"1","0",30.815,7285273,"2.37001991271973",-2.84014749508768
"17","BEL","2013",5.00772716561679,"1","0",31.291,7277628,"2.33072996139526",-5.68061237430678
"18","BEL","2012",4.98575000935629,"1","0",31.297,7267828,"2.28114008903503",2.38036960149692
"19","BEL","2011",5.00225928854756,"1","0",31.567,7249661,"2.17332005500793",31.265983348903
"20","BEL","2010",5.00503204892888,"1","0",32.989,7176760,"2.06188011169434",26.0669819962462
"21","BEL","2009",4.93111849106174,"1","0",31.272,7123379,"1.99860000610352",16.0070029161629
"22","BEL","2008",4.95145266564154,"1","0",32.079,7073628,"1.93684005737305",36.8029204549977
"23","BEL","2007",4.90944421887118,"1","0",32.893,7013018,"1.84999001026154",20.5026740062328
"24","BEL","2006",4.87569447510516,"1","0",33.077,6944194,"1.8226900100708",14.4078713936676
"25","BEL","2005",4.9081040629592,"1","0",37.572,6881331,"1.79060995578766",8.72717720186463
"26","BEL","2004",4.94175404371325,"1","0",37.444,6836408,"1.82050001621246",12.0521106747569
"27","BEL","2003",4.95445297157644,"1","0",36.871,6805014,"1.8411899805069",10.8648744877518
"28","BEL","2002",4.94488487221966,"1","0",37.066,6774608,"1.90324997901917",7.01242443993657
"29","BEL","2001",4.93028045863242,"1","0",36.876,6743920,"2.03278994560242",37.2564694834172
"30","BEL","2000",4.92324369941961,"1","0",39.049,6723820,"1.93619000911713",37.4753122979087
"31","BGR","2014",5.23505445218422,"1","0",26.886,4751668,"0.790050029754639",1.91330024420873
"32","BGR","2013",5.19511887959813,"1","0",25.178,4814205,"0.634329974651337",3.56126116234701
"33","BGR","2012",5.18455982240533,"1","0",24.162,4881414,"0.600359976291656",3.2937399637389
"34","BGR","2011",5.19868985900048,"1","0",24.005,4948648,"0.529510021209717",3.64377871047417
"35","BGR","2010",5.18690503648557,"1","0",24.875,5015444,"0.563069999217987",3.63054818996133
"36","BGR","2009",5.19170064914669,"1","0",24.805,5076737,"0.493380010128021",7.4901573261348
"37","BGR","2008",5.20209214344385,"1","0",25.354,5129121,"0.447310000658035",18.8997638100667
"38","BGR","2007",5.2296345885515,"1","0",24.28,5176982,"0.430029988288879",31.2275318810773
"39","BGR","2006",5.12369235525563,"1","0",24.521,5220366,"0.44216001033783",22.9038783511231
"40","BGR","2005",5.13888783366353,"1","0",29.017,5256073,"0.442690014839172",13.7204790059912
"41","BGR","2004",5.20886789229033,"1","0",30.616,5283071,"0.470860004425049",11.7462386509689
"42","BGR","2003",5.21337672513934,"1","0",29.543,5305099,"0.472220003604889",9.91625852839807
"43","BGR","2002",5.15706462658969,"1","0",31.584,5327942,"0.464729994535446",5.51519461491359
"44","BGR","2001",5.04357913545044,"1","0",31.949,5427238,"0.447089999914169",5.73162685921139
"45","BGR","2000",4.91075220295813,"1","0",32.274,5521592,"0.495169997215271",7.56080761987916
"46","CYP","2014",4.49187298303182,"1","0",41.659,840546,"0.512049973011017",223.436708076654
"47","CYP","2013",4.46186419660159,"1","0",40.892,835587,"0.484849989414215",108.648200653739
"48","CYP","2012",4.31772390978389,"1","0",42.182,829867,"0.437649995088577",280.145510398677
"49","CYP","2011",4.36300363483695,"1","0",45.341,822641,"0.452630013227463",146.729404967253
"50","CYP","2010",4.42779878262975,"1","0",47.364,810597,"0.442919999361038",120.595961081602
"51","CYP","2009",4.31899019898205,"1","0",46.526,794326,"0.444370001554489",249.108048567269
"52","CYP","2008",4.41562992939745,"1","0",46.405,777291,"0.385939985513687",44.1638687211392
"53","CYP","2007",4.50849429728382,"1","0",47.268,759663,"0.400070011615753",9.57344136774277
"54","CYP","2006",4.39179487479788,"1","0",47.964,741705,"0.383459985256195",9.32555099496552
"55","CYP","2005",4.43223904331268,"1","0",49.035,723788,"0.367269992828369",6.30362711595489
"56","CYP","2004",4.51144655344443,"1","0",51.114,706301,"0.335640013217926",6.45961962556633
"57","CYP","2003",4.27022682777642,"1","0",50.789,689585,"0.318340003490448",6.24271140036787
"58","CYP","2002",4.35940552115084,"1","0",49.797,673874,"0.279670000076294",9.66223911887501
"59","CYP","2001",4.41283749657756,"1","0",50.076,658570,"0.236939996480942",9.08590329543211
"60","CYP","2000",4.33045569657231,"1","0",42.714,642939,"0.226899996399879",8.56086119538577
"61","CZE","2014",5.07381040438855,"1","1",20.771,7082902,"1.95833003520966",3.86353982265705
"62","CZE","2013",5.09381790504,"1","1",21.057,7148825,"1.87924003601074",3.47571024002001
"63","CZE","2012",5.10871324063138,"1","1",20.954,7225496,"1.76967000961304",4.51656746777655
"64","CZE","2011",5.1031188435963,"1","1",20.268,7295370,"1.54477000236511",1.82465874546556
"65","CZE","2010",5.11994183022242,"1","1",21.364,7346295,"1.32669997215271",4.86336501936901
"66","CZE","2009",5.11263958998824,"1","1",21.932,7375592,"1.28656005859375",2.54134141893611
"67","CZE","2008",5.07638134143122,"1","1",21.508,7374057,"1.23357999324799",3.72245749433628
"68","CZE","2007",5.08606782598122,"1","1",21.918,7336996,"1.29571998119354",7.26437054022737
"69","CZE","2006",5.09154749642981,"1","1",22.262,7300514,"1.22541999816895",4.56406980590854
"70","CZE","2005",5.09991810083478,"1","1",21.37,7273975,"1.16100001335144",10.0115335790166
"71","CZE","2004",5.16576844842732,"1","1",22.291,7247811,"1.13935005664825",5.36117804621235
"72","CZE","2003",5.20778888530272,"1","1",22.566,7218701,"1.14209997653961",2.01944879947117
"73","CZE","2002",5.14350806741802,"1","1",23.15,7187565,"1.09818994998932",10.3370102281862
"74","CZE","2001",5.16652362561499,"1","1",24.138,7166721,"1.09870994091034",8.31864159453878
"75","CZE","2000",5.17812794801708,"1","1",25.508,7157379,"1.10996997356415",8.06603108565235
"76","DEU","2014",5.00427971056743,"1","0",37.739,53484793,"2.87784004211426",0.502227192634127
"77","DEU","2013",4.99129357874708,"1","0",41.416,53359211,"2.8359899520874",1.79976460383521
"78","DEU","2012",4.99822896619475,"1","0",40.911,53223281,"2.88165998458862",1.85541340766522
"79","DEU","2011",5.00876797233414,"1","0",40.899,53064867,"2.80555009841919",2.60141930420253
"80","DEU","2010",5.00395200400382,"1","0",37.459,53930401,"2.73024010658264",2.53076202316038
"81","DEU","2009",5.04518888945356,"1","0",38.105,53968471,"2.74266004562378",1.66219803352095
"82","DEU","2008",5.00348728150538,"1","0",38.096,54181517,"2.61512994766235",0.826503411355668
"83","DEU","2007",5.00436629136925,"1","0",38.363,54364149,"2.4604799747467",1.48433864746801
"84","DEU","2006",5.02061855949586,"1","0",38.775,54601018,"2.47232007980347",2.91996035974954
"85","DEU","2005",5.04275973672122,"1","0",43.459,54928804,"2.44193005561829",2.10179308132486
"86","DEU","2004",5.04085878313199,"1","0",40.687,55245312,"2.43518996238709",-0.725154707065695
"87","DEU","2003",5.01888563164838,"1","0",41.859,55504907,"2.47461009025574",2.61434522365247
"88","DEU","2002",5.02190104522273,"1","0",41.958,55661657,"2.4362199306488",2.46661519292525
"89","DEU","2001",5.01048231830193,"1","0",42.373,55754780,"2.40437006950378",2.9267553994045
"90","DEU","2000",5.00898549179232,"1","0",50.538,55870870,"2.40982007980347",12.731503590187
