"","Country","Year","gini","Eu_2004","Eu_2014","Educbasic","workagepop","R&D","FDIinflows"
"1","AUT","2014",0.988975717070037,"0","1",36.863,5753902,"3.08429002761841",0.386858115054066
"2","AUT","2013",0.988948040826786,"0","1",36.335,5719020,"2.95492005348206",0.104862185985247
"3","AUT","2012",0.989213487875191,"0","1",36.817,5696737,"2.91472005844116",1.27469393348716
"4","AUT","2011",0.988833340636622,"0","1",37.433,5675763,"2.66867995262146",5.32423673714992
"5","AUT","2010",0.988827361698977,"0","1",36.928,5648587,"2.72609996795654",-5.61017631479876
"6","AUT","2009",0.98836158378197,"0","1",37.654,5629260,"2.59674000740051",3.55936613543504
"7","AUT","2008",0.988594859514677,"0","1",37.771,5616074,"2.56944990158081",1.45842274091571
"8","AUT","2007",0.988666661731426,"0","1",38.557,5598503,"2.41843008995056",17.6948460131618
"9","AUT","2006",0.988777499774271,"0","1",36.822,5587256,"2.35923004150391",3.1225333500469
"10","AUT","2005",0.988845791851425,"0","1",36.226,5577847,"2.37323999404907",25.6558278307872
"11","AUT","2004",0.988878428976658,"0","1",35.216,5561678,"2.16612005233765",1.05608551598748
"12","AUT","2003",0.988850660382748,"0","1",43.188,5532119,"2.17456007003784",2.3620452554039
"13","AUT","2002",0.989154696161542,"0","1",43.666,5491630,"2.06597995758057",0.0645287981477486
"14","AUT","2001",0.989258662174178,"0","1",42.266,5448046,"1.99210000038147",2.88059839258097
"15","AUT","2000",0.989422798487863,"0","1",43.328,5411062,"1.88601994514465",4.30890039482984
"16","BEL","2014",0.989789786346852,"0","1",30.815,7285273,"2.37001991271973",-2.84014749508768
"17","BEL","2013",0.989828001189735,"0","1",31.291,7277628,"2.33072996139526",-5.68061237430678
"18","BEL","2012",0.989955920460013,"0","1",31.297,7267828,"2.28114008903503",2.38036960149692
"19","BEL","2011",0.989844672912773,"0","1",31.567,7249661,"2.17332005500793",31.265983348903
"20","BEL","2010",0.989840122205586,"0","1",32.989,7176760,"2.06188011169434",26.0669819962462
"21","BEL","2009",0.990363129063424,"0","1",31.272,7123379,"1.99860000610352",16.0070029161629
"22","BEL","2008",0.990191606379516,"0","1",32.079,7073628,"1.93684005737305",36.8029204549977
"23","BEL","2007",0.990454065577762,"0","1",32.893,7013018,"1.84999001026154",20.5026740062328
"24","BEL","2006",0.99062842512989,"0","1",33.077,6944194,"1.8226900100708",14.4078713936676
"25","BEL","2005",0.99043758819584,"0","1",37.572,6881331,"1.79060995578766",8.72717720186463
"26","BEL","2004",0.990135596136404,"0","1",37.444,6836408,"1.82050001621246",12.0521106747569
"27","BEL","2003",0.990086364814961,"0","1",36.871,6805014,"1.8411899805069",10.8648744877518
"28","BEL","2002",0.990197022994225,"0","1",37.066,6774608,"1.90324997901917",7.01242443993657
"29","BEL","2001",0.990402516372588,"0","1",36.876,6743920,"2.03278994560242",37.2564694834172
"30","BEL","2000",0.990462896571823,"0","1",39.049,6723820,"1.93619000911713",37.4753122979087
"31","BGR","2014",0.988171909197229,"0","1",26.886,4751668,"0.790050029754639",1.91330024420873
"32","BGR","2013",0.988634367711569,"0","1",25.178,4814205,"0.634329974651337",3.56126116234701
"33","BGR","2012",0.988700387685141,"0","1",24.162,4881414,"0.600359976291656",3.2937399637389
"34","BGR","2011",0.988556368032841,"0","1",24.005,4948648,"0.529510021209717",3.64377871047417
"35","BGR","2010",0.988612888486438,"0","1",24.875,5015444,"0.563069999217987",3.63054818996133
"36","BGR","2009",0.988622218727862,"0","1",24.805,5076737,"0.493380010128021",7.4901573261348
"37","BGR","2008",0.988484961608138,"0","1",25.354,5129121,"0.447310000658035",18.8997638100667
"38","BGR","2007",0.988196365512563,"0","1",24.28,5176982,"0.430029988288879",31.2275318810773
"39","BGR","2006",0.989074276529074,"0","1",24.521,5220366,"0.44216001033783",22.9038783511231
"40","BGR","2005",0.989023020392197,"0","1",29.017,5256073,"0.442690014839172",13.7204790059912
"41","BGR","2004",0.988434671917441,"0","1",30.616,5283071,"0.470860004425049",11.7462386509689
"42","BGR","2003",0.988288135730763,"0","1",29.543,5305099,"0.472220003604889",9.91625852839807
"43","BGR","2002",0.988723516563577,"0","1",31.584,5327942,"0.464729994535446",5.51519461491359
"44","BGR","2001",0.989578790153989,"0","1",31.949,5427238,"0.447089999914169",5.73162685921139
"45","BGR","2000",0.990525916347161,"0","1",32.274,5521592,"0.495169997215271",7.56080761987916
"46","CYP","2014",0.992668653427422,"0","1",41.659,840546,"0.512049973011017",223.436708076654
"47","CYP","2013",0.992905902332557,"0","1",40.892,835587,"0.484849989414215",108.648200653739
"48","CYP","2012",0.993420904731449,"0","1",42.182,829867,"0.437649995088577",280.145510398677
"49","CYP","2011",0.993271265280782,"0","1",45.341,822641,"0.452630013227463",146.729404967253
"50","CYP","2010",0.99302590246308,"0","1",47.364,810597,"0.442919999361038",120.595961081602
"51","CYP","2009",0.99331985600697,"0","1",46.526,794326,"0.444370001554489",249.108048567269
"52","CYP","2008",0.992757325328881,"0","1",46.405,777291,"0.385939985513687",44.1638687211392
"53","CYP","2007",0.992466754636864,"0","1",47.268,759663,"0.400070011615753",9.57344136774277
"54","CYP","2006",0.992932808329239,"0","1",47.964,741705,"0.383459985256195",9.32555099496552
"55","CYP","2005",0.992699428732716,"0","1",49.035,723788,"0.367269992828369",6.30362711595489
"56","CYP","2004",0.992218314699444,"0","1",51.114,706301,"0.335640013217926",6.45961962556633
"57","CYP","2003",0.993221580111817,"0","1",50.789,689585,"0.318340003490448",6.24271140036787
"58","CYP","2002",0.992683633069294,"0","1",49.797,673874,"0.279670000076294",9.66223911887501
"59","CYP","2001",0.992335401900886,"0","1",50.076,658570,"0.236939996480942",9.08590329543211
"60","CYP","2000",0.992412142938759,"0","1",42.714,642939,"0.226899996399879",8.56086119538577
"61","CZE","2014",0.989699510101373,"1","1",20.771,7082902,"1.95833003520966",3.86353982265705
"62","CZE","2013",0.989540168431723,"1","1",21.057,7148825,"1.87924003601074",3.47571024002001
"63","CZE","2012",0.989406791842544,"1","1",20.954,7225496,"1.76967000961304",4.51656746777655
"64","CZE","2011",0.989484772668783,"1","1",20.268,7295370,"1.54477000236511",1.82465874546556
"65","CZE","2010",0.98932478056955,"1","1",21.364,7346295,"1.32669997215271",4.86336501936901
"66","CZE","2009",0.989395716154123,"1","1",21.932,7375592,"1.28656005859375",2.54134141893611
"67","CZE","2008",0.989696094129692,"1","1",21.508,7374057,"1.23357999324799",3.72245749433628
"68","CZE","2007",0.989630768742835,"1","1",21.918,7336996,"1.29571998119354",7.26437054022737
"69","CZE","2006",0.989564372038404,"1","1",22.262,7300514,"1.22541999816895",4.56406980590854
"70","CZE","2005",0.989498624453899,"1","1",21.37,7273975,"1.16100001335144",10.0115335790166
"71","CZE","2004",0.988957125133992,"1","1",22.291,7247811,"1.13935005664825",5.36117804621235
"72","CZE","2003",0.988597538786237,"1","1",22.566,7218701,"1.14209997653961",2.01944879947117
"73","CZE","2002",0.989104453101273,"1","1",23.15,7187565,"1.09818994998932",10.3370102281862
"74","CZE","2001",0.988952606342743,"1","1",24.138,7166721,"1.09870994091034",8.31864159453878
"75","CZE","2000",0.988843273516006,"1","1",25.508,7157379,"1.10996997356415",8.06603108565235
