"","Country","Year","Gini_Coefficient","EU_2004","EU_2014"
"1","AUS","2014",0.957914418217882,0,0
"2","AUS","2013",0.956848785996835,0,0
"3","AUS","2012",0.95262882041558,0,0
"4","AUS","2011",0.954513587773724,0,0
"5","AUS","2010",0.954036455143731,0,0
"6","AUS","2009",0.949858936887021,0,0
"7","AUS","2008",0.946817919840298,0,0
"8","AUS","2007",0.935162018520942,0,0
"9","AUS","2006",0.934458363205468,0,0
"10","AUS","2005",0.931020427909912,0,0
"11","AUS","2004",0.92394024437045,0,0
"12","AUS","2003",0.918261351899098,0,0
"13","AUS","2002",0.924039716069165,0,0
"14","AUS","2001",0.924826173850878,0,0
"15","AUS","2000",0.927808853499954,0,0
"16","AUT","2014",0.825778558062703,0,1
"17","AUT","2013",0.823613497392619,0,1
"18","AUT","2012",0.824860785433187,0,1
"19","AUT","2011",0.818879384081948,0,1
"20","AUT","2010",0.815173678565172,0,1
"21","AUT","2009",0.809494486275216,0,1
"22","AUT","2008",0.813107794468685,0,1
"23","AUT","2007",0.815667839542285,0,1
"24","AUT","2006",0.81423889780484,0,1
"25","AUT","2005",0.815963030004074,0,1
"26","AUT","2004",0.81386415338499,0,1
"27","AUT","2003",0.813703070202205,0,1
"28","AUT","2002",0.81560017324411,0,1
"29","AUT","2001",0.818195090539853,0,1
"30","AUT","2000",0.825767917202616,0,1
"31","BEL","2014",0.834002021246355,0,1
"32","BEL","2013",0.832124925064322,0,1
"33","BEL","2012",0.830667353141277,0,1
"34","BEL","2011",0.830336532599115,0,1
"35","BEL","2010",0.826606933755515,0,1
"36","BEL","2009",0.825009357253107,0,1
"37","BEL","2008",0.83371353794221,0,1
"38","BEL","2007",0.837880443214534,0,1
"39","BEL","2006",0.837750158492042,0,1
"40","BEL","2005",0.834024439604243,0,1
"41","BEL","2004",0.834778044863252,0,1
"42","BEL","2003",0.834718237534119,0,1
"43","BEL","2002",0.83748370416202,0,1
"44","BEL","2001",0.852023089800481,0,1
"45","BEL","2000",0.853409312413533,0,1
"46","BGR","2014",0.854202167383722,0,1
"47","BGR","2013",0.871875512313472,0,1
"48","BGR","2012",0.86956825995364,0,1
"49","BGR","2011",0.872080056917774,0,1
"50","BGR","2010",0.868610515071696,0,1
"51","BGR","2009",0.87129726305079,0,1
"52","BGR","2008",0.867377258325836,0,1
"53","BGR","2007",0.864262381872609,0,1
"54","BGR","2006",0.86507759133596,0,1
"55","BGR","2005",0.865612004291353,0,1
"56","BGR","2004",0.860998137368884,0,1
"57","BGR","2003",0.880707362865796,0,1
"58","BGR","2002",0.888351135236218,0,1
"59","BGR","2001",0.895925028897164,0,1
"60","BGR","2000",0.903740264407048,0,1
"61","BRA","2014",0.915819518670877,0,0
"62","BRA","2013",0.914972178419337,0,0
"63","BRA","2012",0.912453545461353,0,0
"64","BRA","2011",0.912717245859859,0,0
"65","BRA","2010",0.908999855025647,0,0
