"","Country","Year","Gini_Coefficient","EU_2004","EU_2014"
"1","AUS","2014",0.991187169407752,0,0
"2","AUS","2013",0.991276935417759,0,0
"3","AUS","2012",0.991484775715947,0,0
"4","AUS","2011",0.991482242632808,0,0
"5","AUS","2010",0.991363377449952,0,0
"6","AUS","2009",0.991329703942959,0,0
"7","AUS","2008",0.991501819949467,0,0
"8","AUS","2007",0.991798306065641,0,0
"9","AUS","2006",0.99157090717399,0,0
"10","AUS","2005",0.99136759742483,0,0
"11","AUS","2004",0.991274127167116,0,0
"12","AUS","2003",0.991038943801615,0,0
"13","AUS","2002",0.991207523326748,0,0
"14","AUS","2001",0.99145321303978,0,0
"15","AUS","2000",0.991634461454305,0,0
"16","AUT","2014",0.988975717070037,0,1
"17","AUT","2013",0.988948040826786,0,1
"18","AUT","2012",0.989213487875191,0,1
"19","AUT","2011",0.988833340636622,0,1
"20","AUT","2010",0.988827361698977,0,1
"21","AUT","2009",0.98836158378197,0,1
"22","AUT","2008",0.988594859514677,0,1
"23","AUT","2007",0.988666661731426,0,1
"24","AUT","2006",0.988777499774271,0,1
"25","AUT","2005",0.988845791851425,0,1
"26","AUT","2004",0.988878428976658,0,1
"27","AUT","2003",0.988850660382748,0,1
"28","AUT","2002",0.989154696161542,0,1
"29","AUT","2001",0.989258662174178,0,1
"30","AUT","2000",0.989422798487863,0,1
"31","BEL","2014",0.989789786346852,0,1
"32","BEL","2013",0.989828001189735,0,1
"33","BEL","2012",0.989955920460013,0,1
"34","BEL","2011",0.989844672912773,0,1
"35","BEL","2010",0.989840122205586,0,1
"36","BEL","2009",0.990363129063424,0,1
"37","BEL","2008",0.990191606379516,0,1
"38","BEL","2007",0.990454065577762,0,1
"39","BEL","2006",0.99062842512989,0,1
"40","BEL","2005",0.99043758819584,0,1
"41","BEL","2004",0.990135596136404,0,1
"42","BEL","2003",0.990086364814961,0,1
"43","BEL","2002",0.990197022994225,0,1
"44","BEL","2001",0.990402516372588,0,1
"45","BEL","2000",0.990462896571823,0,1
"46","BGR","2014",0.988171909197229,0,1
"47","BGR","2013",0.988634367711569,0,1
"48","BGR","2012",0.988700387685141,0,1
"49","BGR","2011",0.988556368032841,0,1
"50","BGR","2010",0.988612888486438,0,1
"51","BGR","2009",0.988622218727862,0,1
"52","BGR","2008",0.988484961608138,0,1
"53","BGR","2007",0.988196365512563,0,1
"54","BGR","2006",0.989074276529074,0,1
"55","BGR","2005",0.989023020392197,0,1
"56","BGR","2004",0.988434671917441,0,1
"57","BGR","2003",0.988288135730763,0,1
"58","BGR","2002",0.988723516563577,0,1
"59","BGR","2001",0.989578790153989,0,1
"60","BGR","2000",0.990525916347161,0,1
"61","BRA","2014",0.991640845299041,0,0
"62","BRA","2013",0.991618260687221,0,0
"63","BRA","2012",0.99146711282493,0,0
"64","BRA","2011",0.991752234596494,0,0
"65","BRA","2010",0.991678537270535,0,0
"66","BRA","2009",0.991897240568249,0,0
"67","BRA","2008",0.991677710013571,0,0
"68","BRA","2007",0.991710412338884,0,0
"69","BRA","2006",0.991921807828662,0,0
"70","BRA","2005",0.99203065580947,0,0
"71","BRA","2004",0.992323474713739,0,0
"72","BRA","2003",0.992406227036683,0,0
"73","BRA","2002",0.992069338481673,0,0
"74","BRA","2001",0.991755395593817,0,0
"75","BRA","2000",0.99148833018901,0,0
"76","CAN","2014",0.987531480051196,0,0
"77","CAN","2013",0.987078745094746,0,0
"78","CAN","2012",0.987239020030218,0,0
"79","CAN","2011",0.987434359777568,0,0
"80","CAN","2010",0.987565602843896,0,0
"81","CAN","2009",0.987472006584841,0,0
"82","CAN","2008",0.987282742507518,0,0
"83","CAN","2007",0.987260613533251,0,0
"84","CAN","2006",0.987044332142168,0,0
"85","CAN","2005",0.986945848487829,0,0
"86","CAN","2004",0.987244442131769,0,0
"87","CAN","2003",0.987269369412272,0,0
"88","CAN","2002",0.987522253211196,0,0
"89","CAN","2001",0.987567237944958,0,0
"90","CAN","2000",0.987724321244674,0,0
"91","CHE","2014",0.9918455227636,0,0
"92","CHE","2013",0.992057166225206,0,0
"93","CHE","2012",0.991942872642142,0,0
"94","CHE","2011",0.991840654638444,0,0
"95","CHE","2010",0.991829354474589,0,0
"96","CHE","2009",0.992073410130253,0,0
"97","CHE","2008",0.992020743607606,0,0
"98","CHE","2007",0.99204500932176,0,0
"99","CHE","2006",0.991956519845461,0,0
"100","CHE","2005",0.99193723035888,0,0
"101","CHE","2004",0.991836596934382,0,0
"102","CHE","2003",0.991894552769405,0,0
"103","CHE","2002",0.991917645243128,0,0
"104","CHE","2001",0.992044836108551,0,0
"105","CHE","2000",0.991975289510314,0,0
"106","CHN","2014",0.993494962285899,0,0
"107","CHN","2013",0.99350594067364,0,0
"108","CHN","2012",0.993457770561041,0,0
"109","CHN","2011",0.993721953936287,0,0
"110","CHN","2010",0.993725252076015,0,0
"111","CHN","2009",0.993786215772411,0,0
"112","CHN","2008",0.993511256835593,0,0
"113","CHN","2007",0.993481461568313,0,0
"114","CHN","2006",0.993485095901889,0,0
"115","CHN","2005",0.993382359736438,0,0
